city,exp,industry,list_2012,list_2013,list_2014,list_2015,list_2016,list_2017,list_2018,list_2019,list_2020,list_2021,unit
湖北省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,建筑业私营企业和个体就业人员,31.0,32.0,43.2,50.2,59.4,65.8,75.3,89.2,,,万人
湖北省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,交通运输、仓储和邮政业私营企业和个体就业人员,30.8,42.5,43.4,44.4,42.9,46.7,60.2,64.6,,,万人
湖北省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,批发和零售业私营企业和个体就业人员,417.0,481.2,626.2,671.5,663.7,703.2,778.6,814.0,,,万人
湖北省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,住宿和餐饮业私营企业和个体就业人员,74.6,123.7,145.3,148.2,159.5,184.4,179.9,185.8,,,万人
湖北省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,租赁和商务服务业私营企业和个体就业人员,35.9,44.7,63.3,74.5,84.8,100.0,108.3,116.9,,,万人
湖北省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,居民服务和其他服务业私营企业和个体就业人员,62.9,91.7,110.3,114.7,111.8,123.9,124.8,128.8,,,万人
河南省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。,私营企业和个体就业人员,865.5,729.9,894.2,995.1,1174.8,1421.3,1639.0,1882.7,,,万人
河南省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,制造业私营企业和个体就业人员,176.4,145.0,157.3,164.2,181.4,203.5,225.5,243.7,,,万人
河南省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,建筑业私营企业和个体就业人员,23.6,24.9,31.1,34.7,41.5,52.7,67.3,83.1,,,万人
河南省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,交通运输、仓储和邮政业私营企业和个体就业人员,15.7,11.1,12.9,15.0,17.9,22.7,32.8,36.7,,,万人
河南省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,批发和零售业私营企业和个体就业人员,419.9,353.3,441.3,479.3,549.6,637.8,723.1,833.7,,,万人
河南省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,住宿和餐饮业私营企业和个体就业人员,65.2,44.0,57.7,74.2,103.3,136.4,164.2,190.6,,,万人
河南省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,租赁和商务服务业私营企业和个体就业人员,29.2,27.7,36.1,44.6,54.5,76.3,88.2,102.6,,,万人
河南省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,居民服务和其他服务业私营企业和个体就业人员,60.5,51.1,63.6,71.2,87.4,112.7,71.7,92.1,,,万人
山东省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。,私营企业和个体就业人员,1375.0,1502.3,1757.4,2042.4,2372.7,2719.2,3057.8,3755.2,,,万人
山东省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,制造业私营企业和个体就业人员,352.3,354.2,377.1,401.1,456.2,505.7,530.9,554.1,,,万人
山东省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,建筑业私营企业和个体就业人员,58.4,61.5,72.9,82.8,96.9,124.7,156.1,239.4,,,万人
山东省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,交通运输、仓储和邮政业私营企业和个体就业人员,46.8,51.1,54.9,52.6,57.9,63.1,69.5,78.3,,,万人
山东省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,批发和零售业私营企业和个体就业人员,591.1,663.9,806.4,936.1,1061.5,1179.6,1293.4,1513.4,,,万人
山东省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,住宿和餐饮业私营企业和个体就业人员,69.0,79.2,84.4,117.4,146.5,180.3,213.6,248.0,,,万人
山东省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,租赁和商务服务业私营企业和个体就业人员,67.6,68.5,86.2,106.4,128.4,157.9,184.6,277.9,,,万人
山东省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,居民服务和其他服务业私营企业和个体就业人员,75.4,80.9,94.8,117.7,139.3,165.2,197.9,353.2,,,万人
江西省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。,私营企业和个体就业人员,659.9,672.5,776.5,864.8,898.6,930.8,1010.3,1097.0,,,万人
江西省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,制造业私营企业和个体就业人员,138.5,134.3,149.1,161.7,163.2,166.9,182.6,194.1,,,万人
江西省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,建筑业私营企业和个体就业人员,12.6,19.0,25.1,28.9,32.0,36.6,46.3,54.3,,,万人
江西省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,交通运输、仓储和邮政业私营企业和个体就业人员,19.7,20.2,24.2,26.0,26.4,25.3,26.1,27.2,,,万人
江西省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,批发和零售业私营企业和个体就业人员,256.4,300.6,341.4,372.0,376.0,377.6,392.8,420.0,,,万人
江西省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,住宿和餐饮业私营企业和个体就业人员,40.5,36.0,40.6,49.4,55.5,62.4,71.0,81.2,,,万人
江西省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,租赁和商务服务业私营企业和个体就业人员,25.3,33.2,45.7,57.4,64.8,70.0,77.9,85.3,,,万人
江西省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,居民服务和其他服务业私营企业和个体就业人员,70.9,40.8,45.4,50.3,51.8,55.4,60.3,67.0,,,万人
福建省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。,私营企业和个体就业人员,652.7,640.3,756.7,913.4,1149.3,1298.5,1966.0,1678.4,,,万人
福建省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,制造业私营企业和个体就业人员,138.8,151.7,169.8,193.5,223.9,250.4,251.0,317.9,,,万人
福建省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,建筑业私营企业和个体就业人员,19.9,24.8,28.7,34.2,47.2,58.5,58.9,73.7,,,万人
福建省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,交通运输、仓储和邮政业私营企业和个体就业人员,10.6,10.9,12.9,16.0,19.0,22.2,22.3,31.2,,,万人
福建省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,批发和零售业私营企业和个体就业人员,290.8,267.3,317.8,378.5,480.6,504.0,1061.4,652.2,,,万人
福建省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,住宿和餐饮业私营企业和个体就业人员,37.8,30.7,41.2,53.5,67.8,84.2,94.2,108.3,,,万人
福建省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,租赁和商务服务业私营企业和个体就业人员,44.6,46.4,55.5,71.6,95.2,114.4,172.3,137.2,,,万人
福建省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,居民服务和其他服务业私营企业和个体就业人员,38.2,31.1,36.7,43.8,53.1,61.1,67.1,78.5,,,万人
安徽省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。,私营企业和个体就业人员,646.2,705.1,816.4,919.3,1056.2,1232.7,1410.0,1571.1,,,万人
安徽省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,制造业私营企业和个体就业人员,131.8,153.5,157.8,170.0,185.9,206.2,225.1,241.0,,,万人
安徽省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,建筑业私营企业和个体就业人员,26.6,31.1,35.5,40.2,47.5,57.9,72.8,86.5,,,万人
安徽省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,交通运输、仓储和邮政业私营企业和个体就业人员,11.3,12.1,14.1,16.2,19.6,24.1,27.9,31.0,,,万人
安徽省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,批发和零售业私营企业和个体就业人员,288.2,314.0,370.1,406.9,451.6,504.3,564.5,609.3,,,万人
安徽省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,住宿和餐饮业私营企业和个体就业人员,43.3,41.3,48.7,59.0,76.8,97.2,118.8,136.9,,,万人
安徽省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,租赁和商务服务业私营企业和个体就业人员,22.8,29.9,37.3,46.4,56.4,69.9,78.2,88.8,,,万人
安徽省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,居民服务和其他服务业私营企业和个体就业人员,48.3,43.6,56.4,63.7,74.2,86.4,99.7,123.1,,,万人
浙江省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。,私营企业和个体就业人员,1546.2,1760.6,1970.8,2417.6,2565.7,2695.8,2643.1,2778.8,,,万人
浙江省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,制造业私营企业和个体就业人员,708.2,838.8,862.2,940.6,962.0,971.6,912.7,906.3,,,万人
浙江省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,建筑业私营企业和个体就业人员,58.8,65.3,71.7,127.3,131.3,126.8,104.6,113.3,,,万人
浙江省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,交通运输、仓储和邮政业私营企业和个体就业人员,26.9,28.4,31.2,37.5,41.6,46.1,49.1,51.3,,,万人
浙江省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,批发和零售业私营企业和个体就业人员,468.5,488.9,579.5,704.6,714.7,758.7,772.3,834.9,,,万人
浙江省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,住宿和餐饮业私营企业和个体就业人员,52.1,60.2,71.3,94.2,118.9,127.9,141.0,151.8,,,万人
浙江省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,租赁和商务服务业私营企业和个体就业人员,70.2,87.3,112.4,203.7,212.0,261.7,212.4,224.6,,,万人
浙江省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。,居民服务和其他服务业私营企业和个体就业人员,57.9,63.2,79.8,98.8,114.1,114.1,117.5,124.8,,,万人
江苏省,就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。,私营企业和个体就业人员,2232.9,2543.0,2615.4,2791.1,3114.1,3394.1,3604.2,3526.0,,,万人
